latitude,longitude,zoom,estado
-4.853095,-42.989434,13,Maranhão
-4.672914,-47.854299,13,Maranhão
-4.672914,-47.674119,13,Maranhão
-4.672914,-47.493939,13,Maranhão
-4.672914,-47.313759,13,Maranhão
-4.672914,-47.133578,13,Maranhão
-4.672914,-46.953398,13,Maranhão
-4.672914,-46.773218,13,Maranhão
-4.672914,-46.593038,13,Maranhão
-4.672914,-46.412858,13,Maranhão
-4.672914,-46.232677,13,Maranhão
-4.672914,-46.052497,13,Maranhão
-4.672914,-45.872317,13,Maranhão
-4.672914,-45.692137,13,Maranhão
-4.672914,-45.511957,13,Maranhão
-4.672914,-45.331777,13,Maranhão
-4.672914,-45.151596,13,Maranhão
-4.672914,-44.971416,13,Maranhão
-4.672914,-44.791236,13,Maranhão
-4.672914,-44.611056,13,Maranhão
-4.672914,-44.430876,13,Maranhão
-4.672914,-44.250695,13,Maranhão
-4.672914,-44.070515,13,Maranhão
-4.672914,-43.890335,13,Maranhão
-4.672914,-43.710155,13,Maranhão
-4.672914,-43.529975,13,Maranhão
-4.672914,-43.349795,13,Maranhão
-4.672914,-43.169614,13,Maranhão
-4.672914,-42.989434,13,Maranhão
-4.492734,-47.493939,13,Maranhão
-4.492734,-47.313759,13,Maranhão
-4.492734,-47.133578,13,Maranhão
-4.492734,-46.953398,13,Maranhão
-4.492734,-46.773218,13,Maranhão
-4.492734,-46.593038,13,Maranhão
-4.492734,-46.412858,13,Maranhão
-4.492734,-46.232677,13,Maranhão
-4.492734,-46.052497,13,Maranhão
-4.492734,-45.872317,13,Maranhão
-4.492734,-45.692137,13,Maranhão
-4.492734,-45.511957,13,Maranhão
-4.492734,-45.331777,13,Maranhão
-4.492734,-45.151596,13,Maranhão
-4.492734,-44.971416,13,Maranhão
-4.492734,-44.791236,13,Maranhão
-4.492734,-44.611056,13,Maranhão
-4.492734,-44.430876,13,Maranhão
-4.492734,-44.250695,13,Maranhão
-4.492734,-44.070515,13,Maranhão
-4.492734,-43.890335,13,Maranhão
-4.492734,-43.710155,13,Maranhão
-4.492734,-43.529975,13,Maranhão
-4.492734,-43.349795,13,Maranhão
-4.492734,-43.169614,13,Maranhão
-4.492734,-42.989434,13,Maranhão
-4.312554,-47.313759,13,Maranhão
-4.312554,-47.133578,13,Maranhão
-4.312554,-46.953398,13,Maranhão
-4.312554,-46.773218,13,Maranhão
-4.312554,-46.593038,13,Maranhão
-4.312554,-46.412858,13,Maranhão
